c Instance Type h
c
n 100
c w	 v1	 v2
i 740	 373 	 370 
i 830	 694 	 366 
i 285	 577 	 951 
i 161	 775 	 363 
i 585	 928 	 160 
i 116	 296 	 712 
i 741	 456 	 118 
i 872	 504 	 355 
i 49	 521 	 16 
i 97	 57 	 34 
i 467	 797 	 270 
i 833	 627 	 643 
i 784	 912 	 337 
i 147	 74 	 914 
i 307	 658 	 690 
i 19	 774 	 618 
i 137	 515 	 913 
i 492	 387 	 369 
i 507	 435 	 873 
i 540	 532 	 394 
i 810	 998 	 451 
i 453	 832 	 249 
i 790	 616 	 876 
i 704	 763 	 788 
i 394	 70 	 861 
i 12	 88 	 519 
i 925	 225 	 293 
i 295	 716 	 807 
i 168	 223 	 195 
i 562	 763 	 629 
i 13	 573 	 162 
i 262	 26 	 161 
i 138	 815 	 992 
i 925	 519 	 609 
i 786	 913 	 372 
i 306	 925 	 441 
i 599	 850 	 529 
i 406	 145 	 753 
i 600	 312 	 470 
i 230	 873 	 692 
i 392	 886 	 455 
i 552	 148 	 28 
i 544	 285 	 54 
i 154	 211 	 869 
i 525	 997 	 389 
i 966	 303 	 302 
i 496	 901 	 227 
i 250	 308 	 77 
i 719	 908 	 222 
i 412	 139 	 533 
i 866	 530 	 407 
i 894	 82 	 294 
i 948	 626 	 441 
i 817	 779 	 726 
i 206	 305 	 936 
i 508	 272 	 933 
i 735	 767 	 237 
i 812	 17 	 138 
i 34	 735 	 445 
i 567	 148 	 354 
i 973	 14 	 492 
i 267	 908 	 22 
i 708	 856 	 104 
i 434	 674 	 729 
i 371	 880 	 509 
i 305	 388 	 814 
i 541	 124 	 86 
i 678	 935 	 852 
i 124	 968 	 869 
i 477	 536 	 605 
i 968	 510 	 752 
i 990	 777 	 766 
i 94	 485 	 674 
i 823	 919 	 531 
i 332	 290 	 205 
i 146	 594 	 85 
i 232	 135 	 473 
i 84	 813 	 596 
i 953	 937 	 531 
i 558	 414 	 500 
i 310	 383 	 37 
i 77	 374 	 546 
i 750	 467 	 323 
i 282	 290 	 808 
i 486	 622 	 727 
i 571	 768 	 18 
i 44	 999 	 612 
i 640	 84 	 747 
i 172	 37 	 560 
i 672	 594 	 498 
i 708	 904 	 912 
i 255	 980 	 295 
i 578	 731 	 669 
i 386	 13 	 136 
i 113	 499 	 426 
i 131	 70 	 49 
i 742	 114 	 816 
i 489	 754 	 815 
i 50	 925 	 898 
i 547	 598 	 935 
c
c
W 23773
c end of file
